                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.25066,                0.21832,                0.84851,                      1,                 0.8944,                0.95754,                0.53221,                 1.5013,                0.83812,                 2.6316,                0.00769,                0.00769,                0.00769
                     37,                0.24695,                0.21541,                0.85001,                0.96751,                0.76371,                0.91515,                0.48668,                  1.572,                0.89344,                 2.5811,               0.007624,               0.007624,               0.007624
                     38,                0.24043,                0.21071,                 0.8461,                0.91094,                0.78695,                0.87481,                0.42413,                 1.6354,                0.96029,                 2.8253,               0.007558,               0.007558,               0.007558
                     39,                0.23149,                0.20803,                0.84417,                0.94014,                0.80556,                0.92011,                0.44621,                 1.6379,                0.90655,                 2.9469,               0.007492,               0.007492,               0.007492
                     40,                0.23084,                0.20291,                0.84526,                0.93513,                0.82051,                0.92439,                0.52159,                 1.4284,                0.83734,                 2.5647,               0.007426,               0.007426,               0.007426
                     41,                0.22181,                0.19723,                0.84192,                      1,                 0.9142,                0.97029,                0.51697,                 1.5027,                0.72772,                 2.7815,                0.00736,                0.00736,                0.00736
                     42,                0.21191,                0.19296,                0.83963,                0.94425,                 0.8687,                0.95112,                0.50323,                 1.5786,                0.76587,                  2.826,               0.007294,               0.007294,               0.007294
                     43,                0.21347,                0.18977,                  0.842,                0.96625,                0.87179,                0.96793,                0.51955,                 1.5491,                0.75518,                  2.791,               0.007228,               0.007228,               0.007228
                     44,                0.21141,                0.19042,                0.84109,                0.96923,                0.87179,                0.95122,                0.53009,                 1.4735,                0.76083,                 2.5919,               0.007162,               0.007162,               0.007162
                     45,                0.20986,                 0.1873,                0.84091,                 0.9374,                0.76795,                0.86652,                0.51102,                 1.4539,                0.80145,                 2.4388,               0.007096,               0.007096,               0.007096
                     46,                0.20632,                0.18535,                0.84066,                0.98815,                0.79487,                0.90636,                0.48429,                 1.4869,                0.83927,                 2.6303,                0.00703,                0.00703,                0.00703
                     47,                0.20184,                0.18331,                0.83829,                      1,                0.80455,                 0.9258,                0.55007,                 1.4727,                0.79629,                 2.3571,               0.006964,               0.006964,               0.006964
