x1,y1,x2,y2,score
5219.4,34010.6,5269.2,34054.1,0.9522
1497.0,26025.0,1541.9,26061.4,0.9371
10617.3,40968.5,10665.6,41014.0,0.9347
7922.9,40135.4,7961.8,40178.3,0.9340
14138.3,5946.9,14196.3,5988.1,0.9302
11883.4,26468.1,11937.7,26503.2,0.9284
4050.8,37722.6,4085.4,37759.0,0.9243
4422.4,37120.0,4467.2,37152.8,0.9170
2611.8,13035.8,2654.1,13071.0,0.9168
5353.9,4332.7,5411.2,4370.8,0.9145
11410.8,22482.3,11457.0,22524.8,0.9139
3919.0,37696.3,3970.8,37750.9,0.9122
13128.9,14667.5,13169.3,14706.5,0.9107
10815.3,16125.0,10852.4,16158.0,0.9069
13886.1,49650.5,13938.3,49698.0,0.9028
4851.8,37120.1,4899.7,37160.4,0.9002
8154.1,32378.7,8188.9,32420.6,0.8935
15928.2,12659.9,15979.8,12708.2,0.8887
9492.6,27936.0,9538.9,27966.3,0.8871
7186.9,25753.9,7219.6,25806.5,0.8847
9748.5,11394.8,9779.2,11432.9,0.8846
2130.8,12903.9,2166.5,12946.5,0.8815
11361.5,43471.2,11402.6,43508.1,0.8787
16179.1,15931.2,16207.0,15993.1,0.8772
13624.3,45993.6,13667.9,46025.0,0.8759
401.7,9806.6,450.1,9851.3,0.8747
8058.3,26366.6,8110.2,26415.5,0.8746
14153.6,58727.8,14183.0,58763.6,0.8693
841.8,21503.4,927.8,21584.6,0.8680
11375.3,22371.1,11416.7,22406.0,0.8667
15179.2,31014.2,15248.7,31039.9,0.8644
7938.8,40083.9,7973.6,40116.0,0.8620
16839.6,18417.3,16872.8,18450.9,0.8614
6492.2,26240.0,6540.5,26262.5,0.8610
9685.4,27530.0,9724.8,27566.2,0.8610
3330.0,3139.3,3381.3,3180.3,0.8609
11806.3,33429.0,11831.9,33467.6,0.8592
10102.6,48270.5,10158.6,48320.3,0.8572
15106.2,33557.3,15157.7,33612.8,0.8554
5277.3,21954.7,5307.6,21980.2,0.8553
640.9,37120.0,684.5,37147.9,0.8543
9957.1,38049.3,9996.1,38080.3,0.8534
13473.9,19448.3,13532.5,19479.4,0.8530
11969.4,38673.3,12006.0,38704.3,0.8498
11491.8,27976.5,11520.1,28009.6,0.8486
13512.3,19545.3,13604.1,19609.9,0.8485
2780.3,19942.7,2819.8,19981.3,0.8446
2398.0,9105.6,2428.7,9136.8,0.8426
10095.8,39430.1,10124.5,39458.1,0.8424
7956.6,31727.5,8000.0,31758.5,0.8418
4984.3,24438.0,5037.7,24483.7,0.8413
10474.7,28858.9,10514.6,28892.9,0.8407
16043.1,47857.9,16085.1,47885.5,0.8403
11711.4,14969.9,11763.1,15007.7,0.8401
7941.9,1769.1,7999.1,1822.6,0.8388
17064.9,29408.8,17132.3,29440.0,0.8386
14308.0,19393.6,14340.0,19420.8,0.8379
17734.0,16504.8,17804.2,16528.2,0.8376
6050.9,33800.3,6110.7,33847.7,0.8358
5194.3,36631.8,5228.6,36664.3,0.8346
8764.4,40128.0,8796.7,40157.8,0.8341
13121.9,19625.0,13207.1,19691.2,0.8328
12391.1,39385.4,12439.8,39430.4,0.8323
8240.7,51155.2,8290.3,51198.3,0.8314
17571.4,12305.0,17614.3,12338.1,0.8314
1907.4,9447.3,1949.7,9469.1,0.8313
7259.8,8816.3,7284.5,8850.8,0.8312
5476.2,37636.0,5523.6,37687.8,0.8306
16414.2,47092.3,16428.4,47112.6,0.8305
12330.5,34724.3,12372.6,34761.6,0.8295
11451.2,31800.9,11489.2,31834.0,0.8282
2598.2,4568.2,2643.5,4604.1,0.8282
5377.2,27153.3,5412.6,27183.1,0.8280
7038.0,40578.8,7083.5,40603.8,0.8276
4771.9,8924.6,4839.8,8960.0,0.8249
10518.4,42354.5,10588.9,42397.8,0.8247
11913.7,33328.6,11997.2,33397.8,0.8233
12684.1,39269.4,12721.9,39298.9,0.8230
2242.8,27440.4,2276.8,27466.9,0.8226
7655.2,33072.2,7679.0,33108.1,0.8214
6328.3,43610.2,6398.5,43687.4,0.8213
2147.8,11285.9,2192.5,11318.1,0.8209
1420.7,34155.2,1476.9,34206.3,0.8208
14568.6,49497.3,14629.0,49524.3,0.8207
9473.3,33165.4,9518.8,33204.4,0.8205
9235.4,31099.0,9279.7,31142.4,0.8201
1419.3,34097.7,1456.8,34130.6,0.8197
16165.2,36468.1,16196.2,36499.2,0.8182
12051.1,30720.0,12103.1,30748.7,0.8147
8769.9,12160.0,8804.7,12186.4,0.8140
7904.1,55863.4,7938.4,55882.5,0.8137
10804.2,12995.0,10836.9,13025.5,0.8137
804.0,7311.4,844.4,7333.8,0.8132
14342.9,48275.1,14365.9,48319.3,0.8121
15272.7,13177.2,15306.8,13210.9,0.8120
13717.1,12183.3,13757.2,12214.7,0.8119
10195.0,41507.7,10224.3,41533.8,0.8102
893.0,24713.0,925.3,24741.2,0.8098
6124.0,43153.2,6154.8,43185.5,0.8094
14752.6,13033.5,14802.3,13081.6,0.8090
4039.3,27840.0,4117.3,27899.7,0.8082
5667.6,37819.0,5699.3,37848.7,0.8082
16994.9,18398.5,17040.8,18428.8,0.8078
10976.6,30307.1,11001.0,30333.8,0.8074
12205.9,29396.2,12244.6,29466.4,0.8064
6140.9,24098.2,6180.1,24137.3,0.8057
8218.4,31779.6,8268.3,31822.2,0.8056
3979.2,36520.6,4041.1,36573.1,0.8056
16521.9,39640.1,16544.1,39680.0,0.8055
1834.7,19074.5,1875.7,19107.7,0.8051
1419.1,9479.5,1457.6,9500.4,0.8050
6444.8,27366.2,6484.0,27398.1,0.8049
13384.1,19368.5,13471.5,19430.6,0.8045
12255.4,37073.7,12292.3,37113.2,0.8044
10363.0,31736.4,10388.3,31766.8,0.8031
7316.4,36115.7,7355.8,36142.3,0.8029
5962.3,42880.0,6001.2,42907.8,0.8017
16508.3,39904.1,16530.5,39942.3,0.8016
14485.3,23132.1,14521.0,23167.6,0.8013
13318.4,19386.5,13366.5,19426.7,0.8013
17769.3,16546.4,17844.8,16577.4,0.8012
12409.4,6917.8,12455.7,6953.5,0.8010
13442.4,31903.5,13488.0,31956.6,0.8007
5876.9,31800.6,5907.1,31835.5,0.8005
13651.0,38442.0,13679.9,38475.6,0.8005
10162.6,16610.5,10237.5,16684.0,0.8003
11483.2,34722.5,11507.9,34759.7,0.8002
14268.6,19539.2,14301.6,19570.1,0.7996
17690.6,16545.0,17732.7,16570.5,0.7991
1117.7,20160.5,1156.3,20195.5,0.7989
4530.5,8512.0,4565.2,8537.0,0.7985
11881.9,16001.0,11940.6,16020.1,0.7983
12159.7,8006.8,12217.5,8062.0,0.7982
9807.2,31247.8,9838.5,31276.5,0.7977
17965.5,21765.2,18055.4,21836.0,0.7974
14532.9,29452.7,14556.8,29483.8,0.7972
13163.3,6314.8,13201.4,6358.0,0.7966
12771.0,39178.0,12815.2,39209.9,0.7946
1906.2,9447.1,1919.4,9467.2,0.7943
15501.9,36697.0,15536.6,36724.4,0.7943
13867.7,26271.7,13912.8,26305.6,0.7934
9998.3,14635.4,10044.0,14670.4,0.7929
10734.3,28920.6,10751.5,28940.5,0.7922
16305.9,36066.7,16340.8,36100.2,0.7919
14695.9,15004.2,14760.4,15060.9,0.7913
16853.7,18451.0,16896.0,18477.1,0.7907
13787.8,34786.9,13838.3,34834.3,0.7905
12119.2,36900.6,12178.5,36939.0,0.7905
13834.1,19520.0,13921.8,19544.4,0.7901
9077.1,30963.4,9108.4,30997.9,0.7901
16769.3,18349.1,16799.1,18387.6,0.7898
601.5,2478.7,644.9,2507.1,0.7898
10199.1,29254.0,10246.3,29297.8,0.7894
4052.9,37957.4,4097.6,37997.4,0.7893
5115.7,21689.9,5154.4,21731.5,0.7893
14779.4,46400.0,14836.9,46434.3,0.7892
12054.5,16438.7,12092.7,16461.3,0.7889
5860.0,8184.9,5885.9,8211.7,0.7886
11841.9,18239.5,11888.7,18271.1,0.7880
3507.3,575.6,3549.4,607.1,0.7880
7817.9,30874.4,7874.9,30936.6,0.7879
7315.1,8850.9,7341.4,8898.2,0.7870
8515.7,34829.1,8575.0,34906.6,0.7869
706.7,28711.4,750.8,28742.1,0.7862
13192.8,5816.9,13261.2,5883.8,0.7855
14180.1,31136.0,14218.8,31186.3,0.7855
16876.8,44024.2,16904.0,44047.6,0.7854
456.9,12748.4,493.7,12785.6,0.7850
7292.5,44296.8,7314.6,44329.4,0.7849
16341.7,44853.9,16367.5,44880.9,0.7848
13735.1,44913.0,13775.9,44958.6,0.7840
936.9,24640.0,977.2,24667.9,0.7837
14292.2,14332.6,14331.5,14396.9,0.7837
16327.3,15553.5,16371.4,15587.5,0.7837
12487.8,7396.5,12546.7,7444.8,0.7834
13602.0,42333.0,13650.0,42379.2,0.7833
16560.9,32034.2,16606.8,32086.1,0.7830
13705.9,6838.1,13759.6,6881.5,0.7826
4499.3,7636.0,4523.3,7660.9,0.7823
17554.2,19353.9,17629.3,19418.2,0.7821
5312.0,36458.7,5331.8,36490.1,0.7820
4955.7,40370.4,4997.4,40396.3,0.7818
10123.9,16675.8,10156.9,16707.0,0.7818
1892.3,39038.6,1935.0,39073.7,0.7813
16753.5,26120.4,16859.6,26199.1,0.7808
13504.9,44023.9,13522.3,44061.6,0.7807
1502.7,18322.9,1523.7,18354.3,0.7806
1281.3,29168.2,1359.2,29270.9,0.7802
6080.1,37938.5,6124.8,37990.0,0.7801
8159.0,1641.7,8205.7,1686.5,0.7791
8346.1,32242.8,8385.0,32287.0,0.7778
3470.3,32960.8,3520.0,33000.3,0.7774
6720.3,27488.6,6776.8,27520.0,0.7762
17841.0,23490.8,17888.5,23534.2,0.7760
4602.8,34064.9,4643.9,34099.3,0.7758
8856.5,40267.7,8900.9,40318.1,0.7757
12475.7,16320.0,12530.2,16343.2,0.7752
6014.0,32146.8,6051.3,32175.6,0.7739
8908.4,23236.5,8953.3,23285.0,0.7735
8000.6,27315.0,8027.3,27369.7,0.7725
9422.9,12393.6,9454.8,12420.0,0.7720
18093.7,14618.5,18176.0,14649.7,0.7717
14755.6,19788.9,14801.2,19836.8,0.7713
908.3,24535.1,935.3,24579.2,0.7701
2304.4,30629.3,2335.8,30661.8,0.7696
6992.8,32432.4,7026.4,32462.5,0.7688
1600.4,22400.0,1647.9,22431.2,0.7671
5005.0,40935.6,5078.0,40959.9,0.7671
15702.1,19083.5,15747.8,19123.5,0.7670
17422.6,22206.0,17526.7,22299.3,0.7661
15930.6,29719.0,15980.6,29760.0,0.7660
16946.7,39543.9,16988.4,39567.6,0.7657
11397.4,46437.0,11436.2,46473.0,0.7655
566.4,22786.2,612.4,22828.1,0.7653
10456.1,41879.8,10482.7,41909.1,0.7651
8018.4,31927.5,8051.1,31962.2,0.7650
7152.0,3047.5,7199.4,3102.6,0.7643
9246.7,33587.9,9299.7,33635.4,0.7642
12727.3,26432.2,12769.8,26463.6,0.7642
808.8,38576.0,884.6,38631.7,0.7640
14075.2,11889.1,14119.4,11914.0,0.7635
17676.1,16503.3,17716.4,16524.5,0.7630
17359.8,22141.6,17426.8,22219.8,0.7622
2556.6,37675.6,2599.6,37715.4,0.7618
9229.6,36094.5,9277.8,36132.9,0.7615
12373.9,40425.6,12412.0,40463.1,0.7612
8533.5,34880.0,8574.3,34907.2,0.7611
10275.7,16145.3,10314.4,16179.9,0.7610
10874.2,22866.5,10917.2,22908.7,0.7601
13431.6,19642.1,13488.0,19672.5,0.7595
6897.3,52306.7,6910.6,52322.7,0.7594
5904.2,50619.3,5918.6,50643.7,0.7583
12730.4,44146.5,12757.1,44178.7,0.7578
7976.0,14756.3,8051.9,14826.6,0.7560
6627.9,31791.9,6656.4,31821.7,0.7557
11284.1,22427.7,11320.9,22460.0,0.7556
1082.0,26292.3,1109.8,26330.4,0.7554
5841.2,23835.7,5873.5,23879.6,0.7542
1280.0,838.9,1357.7,902.5,0.7542
8517.6,25880.9,8556.3,25920.0,0.7534
7652.2,17669.7,7693.5,17693.4,0.7528
4969.2,41577.9,5009.2,41603.3,0.7519
2240.0,34495.7,2284.2,34558.7,0.7518
9193.2,31749.2,9236.8,31797.0,0.7510
12369.0,33889.7,12431.7,33920.0,0.7504
15035.8,13788.0,15097.5,13848.9,0.7500
16018.2,29800.5,16060.0,29841.0,0.7497
5657.2,38944.4,5695.1,38988.2,0.7496
3147.8,52480.0,3199.2,52555.4,0.7495
6870.8,27762.0,6890.9,27797.1,0.7495
5107.2,50172.4,5133.5,50189.4,0.7492
16502.0,40021.1,16525.4,40059.8,0.7488
7833.4,6311.0,7858.9,6336.3,0.7488
8534.3,18246.8,8603.8,18300.0,0.7486
11692.6,32111.3,11743.0,32155.9,0.7486
9161.0,31203.6,9200.6,31241.4,0.7483
12835.5,15815.3,12875.2,15854.0,0.7478
1667.7,12585.8,1714.0,12630.5,0.7478
13323.1,32127.6,13348.1,32161.5,0.7475
17875.4,23713.4,17937.1,23758.6,0.7472
7379.5,38444.4,7408.4,38473.7,0.7471
9948.4,38145.8,9992.0,38166.4,0.7468
6930.3,52376.9,6943.6,52389.8,0.7460
14026.7,48977.9,14079.5,49015.9,0.7454
5843.7,33855.9,5886.0,33902.5,0.7453
2293.7,19401.3,2332.1,19439.8,0.7453
14367.1,48918.4,14400.0,48937.7,0.7452
5121.8,41118.4,5170.0,41158.4,0.7446
4123.8,37594.2,4161.2,37670.3,0.7444
14419.0,34853.7,14453.7,34900.9,0.7441
16505.8,39970.2,16529.5,40000.0,0.7429
14969.6,13703.9,15039.9,13788.0,0.7427
6532.6,50772.8,6544.8,50789.9,0.7422
10291.5,41707.0,10316.1,41732.8,0.7417
9076.0,40089.6,9140.9,40129.9,0.7416
700.4,33545.3,735.9,33577.8,0.7415
2781.0,20041.7,2834.6,20118.2,0.7413
1942.6,28782.7,2043.1,28849.0,0.7410
16316.9,16791.4,16359.4,16814.2,0.7403
10053.2,41356.9,10075.7,41383.9,0.7401
3461.9,21734.0,3500.6,21764.5,0.7398
13837.1,19635.2,13864.0,19676.9,0.7381
4027.4,37527.9,4066.4,37549.4,0.7377
5950.1,49759.9,5965.4,49774.5,0.7376
7954.9,55551.5,7998.9,55567.2,0.7373
7922.2,17668.2,7965.9,17691.7,0.7371
7963.3,26880.0,8013.7,26913.3,0.7367
8962.0,24980.2,8996.5,25044.1,0.7365
15686.3,11512.3,15724.5,11547.1,0.7364
16414.1,33514.1,16459.8,33547.4,0.7362
5819.2,38950.9,5855.1,38974.0,0.7362
4285.0,12697.5,4335.3,12741.7,0.7360
4000.0,35396.3,4025.2,35419.7,0.7357
10983.0,14055.0,11023.4,14097.2,0.7356
13309.5,25812.8,13370.0,25847.3,0.7354
16931.2,44001.7,16989.5,44042.7,0.7350
9523.9,27169.9,9593.9,27200.0,0.7349
13447.2,6905.1,13497.5,6945.2,0.7346
13786.4,6159.4,13841.5,6206.1,0.7345
12906.0,14965.9,12953.0,14997.3,0.7343
15595.7,19326.3,15631.1,19351.4,0.7339
8870.0,40209.2,8914.9,40257.3,0.7338
6614.8,31138.3,6643.8,31165.1,0.7334
1577.6,29993.5,1635.3,30020.6,0.7332
8885.4,20216.3,8960.0,20256.9,0.7327
12821.2,14930.8,12859.7,14969.0,0.7325
9650.8,31453.2,9681.2,31487.4,0.7325
18156.3,899.6,18175.7,930.4,0.7321
13761.7,19465.4,13843.2,19525.1,0.7315
15899.8,19089.5,15940.4,19114.5,0.7309
4771.4,37120.2,4824.0,37181.9,0.7308
12694.3,37769.5,12758.3,37848.6,0.7306
3915.2,40175.9,3954.7,40206.7,0.7301
12088.1,33370.9,12106.8,33404.8,0.7297
11277.4,36153.2,11319.1,36186.0,0.7291
6102.4,22185.9,6159.1,22223.9,0.7290
17486.9,11088.3,17523.0,11122.2,0.7287
10682.9,27545.8,10730.7,27589.0,0.7285
5491.5,51049.1,5535.7,51067.0,0.7270
4111.9,48997.0,4172.5,49064.1,0.7268
7929.3,30982.2,7964.5,31012.5,0.7268
640.0,27542.0,686.0,27605.7,0.7266
13939.6,49810.4,13973.4,49835.1,0.7266
59.9,19150.3,92.9,19172.4,0.7261
5951.6,51815.3,6002.6,51833.3,0.7259
11489.3,34035.2,11510.8,34064.9,0.7256
2763.1,20193.2,2803.8,20224.9,0.7251
7218.0,40814.9,7267.6,40859.9,0.7251
9972.6,29701.7,10028.2,29745.2,0.7250
11329.1,42385.9,11384.9,42428.1,0.7247
14552.7,39007.5,14587.5,39039.2,0.7246
4281.6,36199.6,4317.6,36224.6,0.7235
17917.0,23444.3,17940.6,23474.5,0.7231
13834.1,19473.7,13925.9,19542.8,0.7225
4146.9,24877.0,4179.2,24904.6,0.7225
7499.4,18083.6,7530.2,18119.2,0.7219
16447.7,63496.6,16462.3,63509.0,0.7215
769.9,7382.5,837.7,7447.3,0.7209
13441.9,19378.1,13471.6,19422.0,0.7207
8082.2,34709.9,8113.5,34748.0,0.7207
17798.8,21901.1,17895.1,21980.8,0.7202
2437.0,44974.5,2468.8,44994.3,0.7200
6810.7,34859.3,6862.0,34880.0,0.7196
17417.8,39528.5,17448.4,39545.4,0.7195
3769.7,42162.5,3813.3,42204.9,0.7195
11525.9,23647.9,11577.4,23694.6,0.7188
14643.0,34241.0,14711.7,34280.4,0.7188
12267.3,27806.4,12322.0,27840.0,0.7187
7477.6,18178.3,7521.8,18206.4,0.7183
8128.0,17681.6,8203.2,17716.2,0.7181
16695.6,34880.0,16746.2,34918.7,0.7174
6280.0,22104.5,6313.3,22133.9,0.7169
6256.0,41471.7,6295.3,41510.4,0.7169
14968.2,37266.6,15007.7,37300.0,0.7167
12881.4,5491.6,12920.8,5526.5,0.7166
14455.2,28469.1,14549.6,28558.4,0.7166
1357.9,28032.2,1401.8,28070.5,0.7163
7273.3,6456.5,7315.0,6491.3,0.7163
641.8,66039.2,683.8,66066.0,0.7153
5560.3,27129.8,5586.2,27144.0,0.7150
8362.8,31937.4,8396.0,31979.9,0.7147
13480.3,6614.1,13546.1,6658.6,0.7135
8166.8,5560.0,8235.1,5611.6,0.7133
8767.3,40033.0,8817.0,40091.5,0.7130
4022.9,49523.6,4034.7,49536.8,0.7127
260.4,64842.0,310.5,64877.2,0.7126
10196.6,24465.7,10239.2,24501.9,0.7119
12245.2,44538.5,12272.8,44611.7,0.7118
13460.2,6859.4,13516.1,6902.3,0.7118
13678.3,36960.2,13702.9,36979.5,0.7117
2719.9,147.3,2758.1,180.1,0.7103
1035.6,23803.0,1076.5,23834.2,0.7099
10140.9,46186.9,10184.4,46228.9,0.7097
11597.4,31996.3,11628.7,32025.8,0.7095
6119.8,33700.1,6176.3,33738.5,0.7092
10065.6,13931.8,10108.9,13969.3,0.7091
15315.7,13130.4,15359.9,13171.6,0.7088
12145.2,7504.8,12195.5,7550.8,0.7083
15810.7,22937.4,15844.9,22970.6,0.7083
9810.9,29120.0,9841.7,29164.4,0.7081
4120.3,24750.7,4164.8,24789.9,0.7080
18044.2,22080.0,18077.3,22115.0,0.7079
12314.8,39233.7,12354.2,39288.0,0.7079
14376.5,44386.6,14409.5,44420.4,0.7079
17691.4,21994.3,17778.2,22077.9,0.7076
165.9,23360.0,227.6,23422.3,0.7067
17042.0,10837.6,17073.9,10872.4,0.7065
17337.8,18312.5,17371.8,18336.2,0.7058
3389.3,42090.2,3425.7,42111.9,0.7057
11402.6,33274.2,11457.6,33320.8,0.7056
