x1,y1,x2,y2,score
3520.7,21549.4,3622.4,21601.9,0.9791
1115.7,10284.9,1243.3,10386.1,0.9661
20160.5,6406.8,20795.6,6720.0,0.9600
5296.0,4053.1,5755.2,4475.7,0.9556
3520.0,9280.5,3638.4,9521.8,0.9542
10037.3,2176.3,10535.6,2560.0,0.9540
3520.0,4154.8,4157.2,4478.1,0.9540
20056.6,1920.0,20160.0,2006.6,0.9538
4038.2,2561.9,4461.2,2880.0,0.9536
4624.7,31572.3,5112.9,32000.0,0.9534
2055.7,11773.1,2557.4,12152.1,0.9530
32075.0,3397.8,32637.0,3835.6,0.9529
31426.2,5959.0,31996.1,6388.5,0.9518
12226.9,8248.9,12795.5,8640.0,0.9516
1663.6,31683.0,1770.4,31996.1,0.9514
2882.1,14082.2,3392.8,14546.6,0.9513
1874.2,12890.7,2240.0,13120.0,0.9513
5912.0,24306.7,6393.1,24637.6,0.9512
4085.4,22638.0,4480.0,23040.0,0.9510
33937.0,2540.2,34558.0,2880.0,0.9504
4960.7,9600.0,5438.5,10032.6,0.9496
34395.1,4760.6,34876.0,5119.4,0.9496
3151.9,6029.8,3520.0,6400.0,0.9494
28483.7,8331.6,29116.9,8676.6,0.9493
2910.0,13042.6,3399.9,13440.0,0.9493
26728.8,9233.7,26880.0,9280.0,0.9492
1327.3,12663.9,1903.4,13120.0,0.9491
16144.5,4785.6,16634.7,5120.0,0.9490
28390.8,8282.7,28798.7,8640.0,0.9490
20860.2,3762.7,21437.4,4159.1,0.9487
10889.1,4826.8,11503.0,5211.1,0.9487
6742.6,8938.5,7357.5,9280.0,0.9487
19524.8,2080.4,20159.9,2558.0,0.9483
5541.3,4525.2,6075.2,4800.0,0.9478
9060.1,3851.7,9591.8,4175.9,0.9477
699.4,34315.6,1275.5,34880.0,0.9476
640.9,11165.5,1275.6,11520.0,0.9472
3644.5,12713.2,4156.2,13120.0,0.9464
2819.0,23449.4,2928.0,23678.9,0.9462
2111.0,1175.1,2234.1,1279.5,0.9462
5856.1,12686.7,6398.4,13115.8,0.9461
1641.6,32000.0,1771.4,32218.8,0.9460
17660.9,4691.8,18236.3,5120.0,0.9459
14164.0,4672.9,14714.6,5118.9,0.9458
22734.3,3683.2,23360.0,4158.5,0.9456
4484.2,30993.6,4908.7,31359.6,0.9456
3029.6,13762.8,3512.0,14195.6,0.9455
21609.6,9902.0,21759.2,10239.8,0.9455
6213.8,13700.5,6713.1,14080.0,0.9454
4532.5,33314.4,4798.6,33600.0,0.9454
28855.1,1098.1,29432.0,1596.0,0.9452
13559.2,4682.5,14079.3,5118.9,0.9452
11400.6,13013.5,11520.0,13120.0,0.9450
37772.8,6400.0,38397.4,6769.7,0.9449
4352.7,21548.6,4479.3,21759.7,0.9448
30102.1,3143.7,30717.0,3520.0,0.9447
21572.8,9917.8,22069.0,10239.4,0.9445
17664.6,828.0,18235.8,1280.0,0.9445
339.8,1906.3,955.5,2240.0,0.9445
17601.7,9965.8,18237.0,10240.0,0.9444
2.6,25415.1,539.4,25920.0,0.9442
21570.4,511.7,22080.0,959.8,0.9440
27622.3,5389.9,28152.4,5755.5,0.9437
4612.2,6958.4,5114.0,7360.0,0.9437
21955.9,9934.3,22398.1,10240.0,0.9434
11636.3,6922.7,12156.1,7360.0,0.9432
5204.3,9920.0,5438.5,10169.1,0.9432
33280.5,9954.9,33916.9,10240.0,0.9431
10985.7,4381.8,11494.7,4800.0,0.9430
26675.6,2128.2,27192.6,2560.0,0.9430
37502.9,8500.3,38074.2,8958.6,0.9428
5761.7,15950.5,6114.5,16317.0,0.9426
14212.2,8212.3,14400.0,8640.0,0.9426
3693.3,25046.8,3820.5,25279.0,0.9424
29827.5,4172.9,30396.0,4694.7,0.9423
17343.2,4050.3,17920.0,4475.6,0.9423
9317.9,5443.4,9600.0,5826.9,0.9423
