                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4769,                 19.598,                 1.6947,                  0.002,                    0.6,                0.00234,                0.00098,                 1.7647,                 13.682,                 1.0008,                 0.0892,                 0.0012,                 0.0012
                      2,                 2.2055,                 4.3475,                   1.56,                 0.6272,                    0.6,                0.58257,                0.33927,                 1.7631,                 1.9797,                 1.2153,               0.077488,              0.0024876,              0.0024876
                      3,                  1.775,                 2.0885,                 1.3189,                0.91485,                    0.2,                0.47342,                 0.2769,                 1.6262,                  1.941,                 1.1215,               0.065762,              0.0037624,              0.0037624
                      4,                 1.5409,                 1.6249,                 1.1756,                0.57051,                    0.6,                0.56591,                0.33173,                 1.5732,                 2.0554,                 1.1141,               0.054024,              0.0050243,              0.0050243
                      5,                 1.3047,                 1.4257,                 1.0767,                0.79996,                0.79984,                0.78643,                0.53225,                 1.3572,                 2.4902,                 1.0711,               0.042273,              0.0062733,              0.0062733
                      6,                 1.1558,                  1.337,                  1.001,                0.77758,                0.71034,                0.76591,                0.46964,                 1.5384,                 1.4711,                 1.0465,               0.030509,              0.0075094,              0.0075094
                      7,                 1.1257,                 1.0204,                0.96409,                0.53314,                      1,                  0.695,                0.44029,                 1.5113,                 1.6686,                 1.1164,               0.018733,              0.0087327,              0.0087327
                      8,                 1.0647,                 0.9898,                0.93458,                0.92604,                    0.8,                0.81087,                0.44916,                 1.5491,                 2.0633,                 1.1258,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1005,                0.93967,                0.93613,                0.98732,                    0.8,                0.96167,                0.63703,                 1.2729,                0.81937,                 1.0445,               0.009604,               0.009604,               0.009604
                     10,                 1.0183,                0.71166,                 0.9173,                0.97616,                    0.6,                0.85333,                0.57754,                 1.4768,                 1.0511,                 1.0357,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0089,                 0.6288,                0.89609,                0.97454,                    0.8,                0.82203,                 0.3943,                 2.0543,                 1.3794,                 1.4333,               0.009505,               0.009505,               0.009505
                     12,                0.96968,                 0.5715,                0.89027,                0.77735,                    0.8,                0.72085,                0.44323,                 1.6069,                 1.4559,                 1.1263,              0.0094555,              0.0094555,              0.0094555
