model,dataset,precision,recall,map50,map50_95,f1,params_M,flops_G,fps,delta_precision,delta_recall,delta_map50,delta_map50_95,delta_f1
YOLOv8n,uav,0.9743589743589743,0.95,0.9737179487179487,0.7088394510752479,0.9620253114564974,3.011043,8.1,58.418528612646114,,,,,
YOLOv8n + CBAM,uav,1.0,0.9641760232920764,0.9867,0.8012213387071281,0.9817613156352996,3.202323,8.3,46.85557560867438,,,,,
Δ (CBAM - baseline),uav,0.02564102564102566,0.014176023292076456,0.012982051282051321,0.09238188763188016,0.01973600417880217,,,,0.02631578947368423,0.014922129781133112,0.01333245556287035,0.1303283663060018,0.020515057081941058
