model,dataset,precision,recall,map50,map50_95,f1,params_M,flops_G,fps,delta_precision,delta_recall,delta_map50,delta_map50_95,delta_f1
YOLOv8n,satellite,0.97122802609439,0.3333333333333333,0.5837375,0.3979925,0.4963241790714898,3.011043,8.1,47.149135674015746,,,,,
YOLOv8n + CBAM,satellite,0.8040601827967572,0.5555555555555556,0.6048895833333334,0.1927832638888889,0.657097569066995,3.202323,8.3,56.09071506150338,,,,,
Δ (CBAM - baseline),satellite,-0.1671678432976328,0.22222222222222227,0.021152083333333405,-0.20520923611111114,0.16077338999550522,,,,-0.17212007768131105,0.6666666666666669,0.036235608185757134,-0.5156108120407071,0.32392818398707846
