x1,y1,x2,y2,score
3380.4,54326.4,3503.4,54400.0,0.9615
16461.7,37120.0,16954.4,37495.6,0.9608
3694.1,40940.8,4153.8,41280.0,0.9604
9659.3,12359.1,10238.2,12797.2,0.9603
15814.2,12331.2,16313.1,12800.0,0.9592
15685.8,6281.7,16316.0,6718.8,0.9582
3336.1,16320.0,3834.9,16777.2,0.9574
860.1,18190.0,1278.8,18559.6,0.9574
4948.0,37863.8,5436.1,38400.0,0.9568
16154.7,17523.8,16636.6,17917.1,0.9566
7838.6,18217.2,8302.0,18560.0,0.9562
10628.3,47312.4,10880.0,47574.5,0.9556
2682.5,9757.6,3194.3,10235.0,0.9554
3668.0,63149.2,4155.4,63678.9,0.9552
13760.3,12799.9,14396.2,13120.0,0.9547
10293.8,49193.8,10876.4,49599.4,0.9545
2562.6,257.6,3195.1,640.0,0.9541
12872.8,48962.8,13436.4,49381.4,0.9541
16563.7,46400.0,16665.5,46479.5,0.9540
3713.8,4480.7,4160.0,4938.9,0.9536
14894.0,23368.5,15357.9,23837.0,0.9534
7771.2,38083.7,8317.0,38539.7,0.9534
14166.5,36047.0,14716.5,36480.0,0.9533
5247.9,4225.5,5754.7,4645.2,0.9533
11233.6,39274.8,11836.0,39680.0,0.9532
9110.8,49181.1,9599.3,49600.0,0.9531
11585.5,19094.3,12158.1,19519.7,0.9529
11946.7,23173.5,12476.1,23678.3,0.9528
7819.5,15883.4,8315.6,16319.4,0.9527
1318.4,6848.3,1916.4,7358.0,0.9527
14413.1,50797.2,15039.9,51200.0,0.9526
491.4,29059.7,938.1,29438.3,0.9525
5522.7,24320.5,5758.0,24645.1,0.9521
3331.9,35731.6,3836.7,36160.0,0.9518
4029.0,24213.7,4477.1,24640.0,0.9515
14098.6,31841.4,14716.9,32316.3,0.9513
5183.1,4725.1,5755.5,5119.7,0.9509
13248.4,47944.6,13757.5,48317.0,0.9509
197.7,23691.1,640.0,24090.7,0.9508
5913.1,40006.0,6381.0,40367.3,0.9508
7876.3,14597.5,8310.7,15040.0,0.9506
16802.6,227.7,17276.4,639.9,0.9505
15631.9,51840.0,15742.9,52050.8,0.9505
10023.5,16892.2,10557.5,17280.0,0.9504
1164.3,64245.7,1594.5,64640.0,0.9502
7769.3,9169.7,8320.0,9600.0,0.9501
11613.2,19355.1,12157.9,19838.3,0.9501
9035.4,37923.7,9279.2,38391.3,0.9500
13442.1,30690.9,14080.0,31040.0,0.9499
5931.4,3386.1,6392.4,3835.3,0.9497
13851.9,50240.0,14397.8,50705.9,0.9497
452.7,47569.1,953.3,47997.6,0.9495
10291.8,36079.4,10876.8,36475.9,0.9495
3646.4,46400.1,3840.0,46670.4,0.9494
5531.7,41796.8,6073.7,42240.0,0.9494
828.2,54027.4,1256.9,54399.5,0.9493
16346.8,50251.8,16479.6,50555.1,0.9491
15143.6,40146.3,15677.3,40638.6,0.9491
15170.0,42448.5,15679.4,42879.2,0.9488
11054.8,15548.6,11517.4,16000.0,0.9486
6460.9,8960.0,6718.5,9167.8,0.9486
1071.9,28734.7,1599.3,29120.0,0.9486
66.3,42134.1,639.5,42559.8,0.9485
6501.6,5460.7,7035.4,5760.0,0.9484
