x1,y1,x2,y2,score
24118.2,30939.5,24634.2,31358.4,0.9661
14292.7,44395.9,14399.0,44480.0,0.9640
25488.9,30080.5,25598.2,30181.4,0.9622
25436.5,26831.1,25914.8,27199.9,0.9590
2607.7,39372.0,3197.2,39822.1,0.9576
20822.2,46604.5,21421.9,47039.2,0.9535
16907.5,24935.1,17278.7,25280.0,0.9527
23383.5,28483.7,23997.4,28824.9,0.9523
25178.7,50240.0,25358.0,50290.1,0.9520
23465.4,24570.2,23993.0,24960.0,0.9517
23484.3,46477.1,23679.3,46719.6,0.9517
15195.4,38674.9,15359.7,38720.0,0.9515
28677.0,16344.4,28785.7,16638.2,0.9514
27067.9,22329.7,27200.0,22399.5,0.9510
15154.4,37353.0,15297.7,37440.0,0.9510
16640.0,19840.0,17276.6,20285.3,0.9510
21128.0,3777.7,21439.4,4160.0,0.9508
6828.7,13922.6,7358.2,14399.6,0.9496
17765.8,2240.0,17918.7,2523.8,0.9492
17117.5,4358.7,17597.7,4794.0,0.9491
24388.2,16966.4,24953.3,17326.1,0.9490
6545.3,11085.2,7036.7,11520.0,0.9489
21897.3,48640.0,22395.2,48960.0,0.9487
22516.7,48815.6,23029.4,49280.0,0.9485
10830.4,10243.7,11200.0,10675.7,0.9484
28128.4,17170.4,28480.0,17599.9,0.9482
8179.8,33924.7,8625.2,34338.6,0.9479
18339.0,10902.0,18876.8,11319.6,0.9476
9322.9,6271.7,9917.6,6719.2,0.9472
9388.1,12353.5,9916.1,12796.5,0.9471
18141.3,12044.9,18240.0,12159.6,0.9468
18112.3,38698.5,18240.0,39038.8,0.9466
25063.1,17035.9,25598.0,17599.9,0.9466
20335.2,33063.3,20480.0,33279.3,0.9464
27280.2,10852.0,27419.6,11199.2,0.9462
23474.7,46433.1,23998.5,46720.0,0.9461
15689.7,8308.3,16318.8,8640.0,0.9456
23724.0,16535.7,24317.6,16960.0,0.9455
21459.4,34243.5,22076.5,34655.7,0.9455
25156.0,20481.3,25599.4,20800.0,0.9454
28337.6,34151.2,28480.0,34240.0,0.9454
14905.6,6364.5,15354.9,6720.0,0.9454
2170.5,3841.3,2560.0,4264.4,0.9453
26945.0,28673.1,27518.0,29120.0,0.9453
3597.6,2560.0,3840.0,2846.4,0.9452
27520.0,22720.7,27704.2,22884.6,0.9452
24382.2,13361.0,24640.0,13757.9,0.9451
13516.2,37924.4,14075.4,38394.5,0.9451
14299.9,30400.0,14399.8,30531.8,0.9450
26024.1,42246.2,26238.5,42454.0,0.9449
17649.7,20484.1,18235.7,20800.0,0.9448
25080.5,23886.6,25280.0,24320.0,0.9447
16158.1,48221.8,16636.2,48640.0,0.9442
10887.3,4160.0,11517.6,4637.8,0.9441
26444.0,27113.7,26560.0,27517.9,0.9439
1985.3,2778.9,2554.9,3200.0,0.9437
17970.8,21931.5,18555.3,22399.5,0.9437
6875.4,13005.3,7359.1,13437.8,0.9437
21588.0,33260.5,21760.0,33299.9,0.9436
26856.3,24961.3,27199.3,25076.2,0.9436
2647.2,14720.0,2877.6,14968.6,0.9434
23826.9,22334.5,24318.3,22720.0,0.9433
20177.3,15466.4,20478.3,15677.3,0.9432
19947.4,19429.4,20155.3,19838.6,0.9430
23558.8,10164.7,23999.3,10560.0,0.9427
27959.4,6661.5,28037.8,7040.0,0.9426
26331.9,49282.0,26391.6,49379.6,0.9425
759.9,10767.8,1277.2,11198.1,0.9424
25440.5,41527.0,25912.7,41918.1,0.9423
14404.8,33821.0,15040.0,34240.0,0.9423
22463.9,13062.1,23033.6,13440.0,0.9423
22424.1,44850.3,23035.6,45120.0,0.9422
23853.3,34241.7,23998.9,34446.1,0.9422
15096.6,44060.7,15210.4,44161.1,0.9421
