x1,y1,x2,y2,score
16361.1,9451.5,16410.2,9483.6,0.9433
23964.9,35269.6,24076.6,35379.6,0.9318
3082.8,9946.1,3122.8,9983.4,0.9289
34553.7,30089.6,34667.7,30195.1,0.9177
33497.4,24521.8,33598.5,24628.9,0.9101
24005.5,7110.8,24064.8,7145.3,0.9091
32041.6,31616.1,32154.7,31716.1,0.9083
27778.7,32251.5,27879.4,32366.4,0.9073
28503.0,34808.7,28603.4,34898.5,0.9064
31610.1,36160.0,31733.5,36228.3,0.9045
23639.8,34240.2,23745.9,34322.8,0.9041
27456.6,35245.9,27562.6,35359.9,0.9038
32725.8,8961.6,32788.8,8993.4,0.9030
4706.2,3103.2,4740.6,3138.4,0.8993
28038.0,33920.1,28145.4,33994.8,0.8967
28899.5,33920.0,28992.5,33977.4,0.8958
23647.6,36006.9,23756.3,36114.7,0.8954
34245.4,31778.1,34347.6,31891.3,0.8954
33499.2,23040.0,33588.3,23100.4,0.8934
228.5,11943.7,280.9,11971.8,0.8931
27972.4,35840.0,28068.5,35895.5,0.8903
31673.4,33281.5,31790.8,33361.4,0.8898
33381.1,2051.1,33413.8,2082.6,0.8884
26165.6,35840.0,26239.3,35914.3,0.8883
27145.8,30873.8,27255.2,30986.7,0.8862
33384.3,23162.4,33493.4,23276.1,0.8850
33787.1,26247.4,33908.5,26355.6,0.8836
35140.6,22720.4,35198.7,22792.1,0.8834
33144.6,19367.8,33178.4,19403.7,0.8821
12773.1,4841.4,12798.7,4870.0,0.8815
24824.4,35315.2,24934.2,35425.8,0.8809
32523.0,34871.3,32643.0,34975.6,0.8806
25700.8,35769.7,25824.9,35839.7,0.8799
33785.1,24000.9,33908.0,24097.7,0.8798
30000.0,35840.0,30101.2,35903.5,0.8791
34156.1,30455.4,34238.6,30543.0,0.8782
35848.3,26376.9,35962.3,26482.5,0.8770
13856.7,27776.4,13873.1,27803.5,0.8767
34489.0,21440.0,34557.5,21513.8,0.8745
27596.9,33959.3,27708.1,34077.0,0.8731
16070.5,9357.7,16115.2,9382.4,0.8722
22170.1,33280.3,22238.5,33367.4,0.8720
36659.3,19220.4,36682.4,19246.5,0.8719
34315.7,21192.6,34400.5,21266.4,0.8715
34391.7,23991.4,34497.4,24104.8,0.8715
22471.8,34439.2,22575.2,34551.4,0.8712
27651.7,32024.5,27761.5,32141.0,0.8710
15868.6,5968.8,15899.8,5996.5,0.8695
33449.6,33146.1,33563.4,33261.2,0.8694
323.3,94.4,379.7,141.2,0.8686
34137.6,31915.1,34247.4,32028.4,0.8683
34105.7,30128.4,34219.5,30237.1,0.8682
23818.4,34579.4,23905.6,34700.4,0.8676
31346.1,31353.0,31455.8,31465.6,0.8671
16164.7,1189.2,16202.3,1216.5,0.8670
31912.9,27452.3,31937.9,27476.3,0.8669
27776.2,34240.0,27838.6,34310.0,0.8664
35502.8,26223.3,35519.8,26263.2,0.8646
3157.0,2751.8,3199.0,2772.3,0.8640
34386.9,32036.3,34499.6,32143.4,0.8633
28455.7,34532.5,28571.6,34641.3,0.8629
34879.4,20554.6,34901.2,20577.5,0.8623
22671.3,21423.8,22705.5,21437.5,0.8622
30716.1,33639.8,30833.2,33750.9,0.8613
21738.1,34240.0,21819.3,34305.3,0.8605
29128.7,29120.0,29240.9,29225.6,0.8603
22009.0,36385.2,22099.0,36499.2,0.8594
33584.0,25653.7,33599.3,25685.4,0.8589
36101.1,24088.4,36158.7,24168.4,0.8581
30483.5,35889.6,30591.5,36001.3,0.8578
15387.7,9458.5,15432.9,9491.4,0.8575
20525.8,34373.0,20550.2,34399.6,0.8565
32379.3,27840.0,32470.6,27895.0,0.8532
34804.6,31040.0,34876.7,31105.7,0.8525
30655.5,34630.2,30758.9,34743.0,0.8522
35485.1,26793.1,35592.1,26908.6,0.8521
36614.2,19653.9,36635.7,19675.4,0.8519
30519.9,34843.7,30624.6,34952.5,0.8510
28202.1,35498.6,28310.5,35604.2,0.8495
25815.8,35674.1,25935.3,35790.0,0.8485
30587.3,34745.2,30694.5,34855.5,0.8482
26643.3,34325.1,26757.0,34432.7,0.8467
24535.4,6345.5,24581.1,6398.7,0.8457
34627.0,30919.1,34743.0,31027.0,0.8452
37712.5,2662.1,37737.9,2735.0,0.8451
18700.2,21096.3,18739.5,21120.7,0.8451
27864.8,32114.2,27972.4,32225.7,0.8450
34024.4,22082.3,34148.4,22181.7,0.8447
16724.6,320.0,16777.9,354.6,0.8445
922.8,35377.1,975.2,35432.0,0.8440
30701.0,7175.5,30719.9,7221.1,0.8430
36717.0,27039.2,36836.6,27146.9,0.8428
16410.7,25225.7,16451.3,25252.7,0.8424
32676.7,32280.0,32789.3,32387.8,0.8423
33211.2,23041.9,33279.6,23131.2,0.8419
28590.4,36003.6,28696.7,36113.9,0.8409
2832.4,12091.8,2868.3,12117.7,0.8408
31330.0,30772.2,31444.6,30884.8,0.8396
15315.9,7650.8,15359.4,7694.6,0.8396
15769.5,9475.7,15811.3,9500.5,0.8395
27365.3,34908.8,27473.5,35027.4,0.8389
28888.0,30960.7,28999.5,31040.0,0.8385
29912.1,33019.3,30036.4,33124.9,0.8384
431.4,9322.8,454.9,9357.9,0.8380
3333.4,10051.1,3372.3,10085.3,0.8378
0.9,7421.2,51.3,7469.9,0.8375
36625.8,6130.9,36650.1,6173.9,0.8368
31610.0,36134.7,31677.8,36231.4,0.8367
27799.3,35605.4,27907.9,35719.5,0.8363
27408.1,16186.6,27422.3,16206.7,0.8363
31256.4,34164.7,31351.1,34276.1,0.8352
34662.2,20872.3,34741.4,20955.4,0.8349
27731.9,35194.8,27834.7,35311.0,0.8348
32941.9,7647.5,32960.0,7673.8,0.8348
730.4,24665.8,823.5,24704.0,0.8347
27672.5,32390.4,27782.7,32501.5,0.8347
36216.2,8873.7,36228.3,8893.5,0.8347
25902.8,35256.6,25919.7,35299.5,0.8347
26770.8,34240.0,26875.7,34306.0,0.8344
20860.9,35389.0,20982.0,35501.7,0.8342
28993.2,33725.4,29095.4,33838.3,0.8342
33411.3,24640.5,33525.7,24737.2,0.8339
22304.5,20857.6,22338.7,20871.5,0.8335
33593.4,26119.5,33703.6,26227.3,0.8335
22634.0,36391.4,22742.4,36509.4,0.8333
32304.0,34735.8,32319.6,34775.5,0.8316
33451.7,8802.0,33523.2,8833.0,0.8313
29253.4,32320.0,29344.5,32378.4,0.8313
245.4,7413.8,269.2,7450.9,0.8313
23584.5,7942.4,23610.6,7982.3,0.8312
27449.1,31040.2,27533.8,31093.0,0.8311
31830.5,33607.9,31942.7,33708.6,0.8305
33890.0,26551.0,34006.6,26660.0,0.8304
33315.3,35970.5,33424.3,36078.9,0.8298
31014.5,30777.7,31126.3,30886.2,0.8278
23345.8,36634.3,23359.4,36663.8,0.8269
32037.3,6564.0,32062.1,6588.7,0.8261
34409.4,30647.7,34527.3,30748.2,0.8257
15866.6,5865.8,15895.8,5894.5,0.8255
14818.0,33532.0,14864.3,33551.8,0.8254
23241.2,35864.1,23351.6,35968.8,0.8251
25544.7,33337.7,25655.4,33457.6,0.8251
30548.8,23024.0,30612.9,23037.8,0.8251
28003.5,31492.0,28109.0,31606.8,0.8249
37345.8,19522.1,37463.8,19618.0,0.8247
28098.3,34405.2,28158.7,34494.4,0.8244
35090.6,30719.2,35191.4,30811.7,0.8242
35274.9,27254.7,35390.0,27356.0,0.8238
32259.2,6969.2,32304.5,7000.5,0.8232
29671.8,35277.3,29782.3,35393.4,0.8225
33226.2,24840.4,33279.3,24938.9,0.8223
643.7,810.5,690.0,848.0,0.8220
5500.1,3296.7,5558.4,3313.3,0.8215
36428.4,32554.1,36448.7,32578.4,0.8215
227.3,29761.3,236.1,29796.0,0.8215
5145.9,3913.1,5169.5,3948.8,0.8213
150.2,29895.9,161.9,29927.0,0.8199
31920.1,35199.8,31939.4,35222.4,0.8198
38183.9,11952.3,38210.8,11981.9,0.8196
23767.9,35849.2,23874.9,35963.0,0.8195
33228.3,29545.5,33279.3,29624.4,0.8191
33486.2,29162.6,33601.9,29275.0,0.8191
17362.1,882.3,17408.5,923.7,0.8188
24815.9,25743.0,24851.1,25763.3,0.8188
34520.1,28553.2,34637.6,28668.8,0.8188
24180.6,21388.0,24210.3,21403.5,0.8183
29287.9,35330.7,29397.3,35443.4,0.8182
24228.7,34926.1,24320.0,35041.9,0.8179
6017.7,0.0,6078.1,23.4,0.8175
16200.7,36139.6,16263.3,36151.5,0.8172
85.3,21123.5,136.0,21166.3,0.8168
12929.3,35507.1,12961.8,35519.2,0.8166
31344.2,31407.0,31359.6,31441.5,0.8160
32320.0,3840.0,32389.9,3896.4,0.8155
33372.0,36337.9,33494.1,36447.6,0.8154
30000.1,35787.2,30110.2,35905.3,0.8152
26179.8,33969.8,26288.5,34080.7,0.8143
33498.2,22986.1,33607.4,23102.5,0.8142
19292.5,17752.1,19311.3,17774.2,0.8142
14231.4,3978.2,14296.8,4045.9,0.8139
29410.3,35200.2,29513.0,35274.7,0.8136
35172.0,5477.9,35201.7,5521.0,0.8123
29603.0,31528.0,29718.2,31628.4,0.8111
17758.4,5675.1,17836.5,5708.8,0.8106
32302.3,32245.5,32319.6,32294.7,0.8102
34822.8,21693.4,34879.2,21797.4,0.8093
19186.2,36679.6,19199.4,36710.3,0.8090
35975.9,21760.0,36097.6,21841.3,0.8078
35476.5,33161.7,35499.1,33183.3,0.8077
37009.0,4235.6,37053.9,4261.9,0.8076
24197.3,35314.9,24311.5,35408.6,0.8075
31360.4,3045.3,31405.3,3100.6,0.8074
27914.1,34039.9,28027.2,34157.0,0.8071
37911.2,14277.3,37925.8,14290.5,0.8069
36155.0,32183.3,36263.3,32294.6,0.8061
27147.2,30877.7,27199.7,30984.0,0.8061
27555.1,35097.2,27664.9,35208.1,0.8059
33057.4,6358.4,33082.0,6391.1,0.8054
13782.2,19117.1,13809.5,19133.6,0.8052
15447.9,9381.0,15493.5,9404.5,0.8042
35727.6,30249.2,35839.9,30366.5,0.8040
32171.1,32309.5,32295.2,32416.7,0.8033
37149.7,21808.2,37168.3,21824.9,0.8029
29101.4,32418.5,29119.9,32461.5,0.8025
27832.4,35027.6,27930.1,35143.5,0.8020
24657.8,17823.1,24690.9,17836.3,0.8019
27736.2,33794.7,27847.2,33904.7,0.8017
14771.5,6083.0,14803.4,6124.6,0.8015
7445.6,1822.0,7480.6,1844.5,0.8009
7419.5,1750.8,7431.5,1770.3,0.8006
19101.8,22609.2,19120.8,22625.1,0.8000
29328.3,33886.6,29352.4,33907.8,0.8000
23499.1,3145.2,23551.1,3195.0,0.7999
29230.3,34985.2,29253.4,35014.7,0.7997
21678.5,26332.7,21695.5,26346.6,0.7996
10130.5,19104.9,10238.4,19200.0,0.7995
28737.5,28480.0,28798.5,28544.1,0.7993
14285.8,32318.2,14347.7,32334.7,0.7990
30780.2,30631.4,30890.4,30747.8,0.7988
20760.2,23580.7,20799.2,23600.2,0.7988
33272.2,7049.9,33305.1,7082.8,0.7988
