model,dataset,precision,recall,map50,map50_95,f1,fps,params_M,flops_G
YOLOv8,uav,0.9744,0.9500,0.9737,0.7088,0.9620,112.9,0.00,0.00
YOLOv5,uav,1.0000,0.9722,0.9859,0.6952,0.9859,87.4,0.00,0.00
U-Net,uav,0.2740,1.0000,0.2101,0.0000,0.4301,155.1,31.04,0.00
FCN,uav,0.3333,0.9750,0.2668,0.0000,0.4968,337.6,14.72,0.00
